#    time               <x>               <y>             var_x             var_y             var_r            <mv_x>            <mv_y>           var_mvx           var_mvy            var_mv                        E                     E-E0              <Px>            var_Px            var_Py             var_P               err
 0.000000  -1.000000000e+00  -2.341572478e-18   3.019233411e-01   3.019233411e-01   6.038466822e-01  -2.341572478e-18   9.996516157e-01   6.038216836e-01   3.023380002e-01   9.061596838e-01   9.5273151831084690e-01   0.0000000000000000e+00   1.977675537e-34   3.018983425e-01   3.023380002e-01   6.042363427e-01  -1.998401444e-15
 0.031416  -9.995068141e-01   3.139981384e-02   3.025189939e-01   3.019232020e-01   6.044421958e-01   3.139981384e-02   9.991585454e-01   6.035238939e-01   3.026354127e-01   9.061593066e-01   9.5273151831084524e-01  -1.6653345369377348e-15  -7.345769213e-18   3.018983425e-01   3.026354127e-01   6.045337552e-01  -3.363975765e-14
 0.062832  -9.980277428e-01   6.276865198e-02   3.043044841e-01   3.019236657e-01   6.062281498e-01   6.276865198e-02   9.976798037e-01   6.026316990e-01   3.035264780e-01   9.061581770e-01   9.5273151831083758e-01  -9.3258734068513149e-15  -1.178358996e-17   3.018983425e-01   3.035264780e-01   6.054248204e-01  -4.141131882e-14
 0.094248  -9.955642453e-01   9.407556902e-02   3.072754120e-01   3.019273713e-01   6.092027833e-01   9.407556902e-02   9.952168489e-01   6.011486161e-01   3.050076840e-01   9.061563001e-01   9.5273151831084679e-01  -1.1102230246251565e-16  -3.008393092e-17   3.018983425e-01   3.050076840e-01   6.069060265e-01  -5.329070518e-14
 0.125664  -9.921187518e-01   1.252896806e-01   3.114244612e-01   3.019387027e-01   6.133631639e-01   1.252896806e-01   9.917721102e-01   5.990804920e-01   3.070731929e-01   9.061536850e-01   9.5273151831085434e-01   7.4384942649885488e-15  -3.359131149e-17   3.018983425e-01   3.070731929e-01   6.089715354e-01  -5.584421814e-14
 0.157080  -9.876946613e-01   1.563801939e-01   3.167414231e-01   3.019637669e-01   6.187051901e-01   1.563801939e-01   9.873489849e-01   5.964354800e-01   3.097148639e-01   9.061503439e-01   9.5273151831085257e-01   5.6621374255882984e-15   3.018273899e-17   3.018983425e-01   3.097148639e-01   6.116132064e-01  -3.219646771e-14
 0.188496  -9.822963381e-01   1.873164381e-01   3.232132310e-01   3.020103645e-01   6.252235954e-01   1.873164381e-01   9.819518352e-01   5.932240076e-01   3.129222850e-01   9.061462925e-01   9.5273151831085534e-01   8.4376949871511897e-15  -2.231609572e-17   3.018983425e-01   3.129222850e-01   6.148206275e-01  -6.183942247e-14
 0.219911  -9.759291078e-01   2.180678943e-01   3.308240036e-01   3.020879503e-01   6.329119539e-01   2.180678943e-01   9.755859840e-01   5.894587359e-01   3.166828142e-01   9.061415501e-01   9.5273151831083736e-01  -9.5479180117763462e-15   3.456092973e-17   3.018983425e-01   3.166828142e-01   6.185811567e-01  -3.874678356e-14
 0.251327  -9.685992515e-01   2.486042260e-01   3.395550986e-01   3.022075875e-01   6.417626861e-01   2.486042260e-01   9.682577095e-01   5.851545095e-01   3.209816291e-01   9.061361386e-01   9.5273151831084479e-01  -2.1094237467877974e-15   6.751269106e-17   3.018983425e-01   3.209816291e-01   6.228799716e-01  -5.817568649e-14
 0.282743  -9.603140002e-01   2.788953089e-01   3.493851742e-01   3.023818925e-01   6.517670667e-01   2.788953089e-01   9.599742392e-01   5.803282984e-01   3.258017850e-01   9.061300834e-01   9.5273151831086889e-01   2.1982415887578100e-14   1.647555459e-16   3.018983425e-01   3.258017850e-01   6.277001275e-01  -3.053113318e-14
 0.314159  -9.510815273e-01   3.089112605e-01   3.602902611e-01   3.026249723e-01   6.629152335e-01   3.089112605e-01   9.507437425e-01   5.749991308e-01   3.311242817e-01   9.061234126e-01   9.5273151831085690e-01   9.9920072216264089e-15   1.258600752e-16   3.018983425e-01   3.311242817e-01   6.330226242e-01  -2.564615187e-14
